ogc_fid,lat,lon,rooms,bedrooms,bathrooms,surface_to,surface_co,price,pm2
79,-34.5973304,-58.4216121,3,2,1,78,63,270000,4285.71428571429
80,-34.58522,-58.426652,3,2,2,76,65,340000,5230.76923076923
81,-34.597653,-58.4160646,3,2,1,70,66,194500,2946.9696969697
82,-34.591564,-58.415404,3,2,2,75,62,255000,4112.90322580645
83,-34.557173,-58.460582,3,2,1,50,46,139000,3021.73913043478
84,-34.5557826,-58.4391635,3,2,3,157,101,729000,7217.82178217822
85,-34.5589216,-58.4648334,3,2,2,68,68,255000,3750
89,-34.59192,-58.3814371,3,2,1,92,80,350000,4375
90,-34.6248591,-58.4399653,3,2,1,100,91,180000,1978.02197802198
91,-34.6252238,-58.4501778,3,2,1,50,49,150000,3061.22448979592
92,-34.608691,-58.445562,3,2,1,53,53,128000,2415.09433962264
93,-34.6194147,-58.3709484,3,2,1,67,56,150000,2678.57142857143
94,-34.5733609,-58.4560837,3,2,2,70,56,185000,3303.57142857143
95,-34.6427898,-58.5635753,3,2,1,73,70,145000,2071.42857142857
96,-34.434883,-58.5641238,3,2,2,70,67,125000,1865.67164179104
97,-34.6015119816,-58.438091397,3,2,1,58,56,128000,2285.71428571429
98,-34.601207603,-58.4336412821,3,2,1,70,70,125000,1785.71428571429
99,-34.6402062,-58.4242662,2,2,1,45,38,101000,2657.89473684211
100,-34.612167,-58.4843,3,2,1,97,72,225000,3125
101,-34.614495,-58.4004652,3,2,1,52,47,92000,1957.44680851064
102,-34.4033675,-58.6489966,4,3,3,129,115,268000,2330.4347826087
103,-34.4033675,-58.6489966,4,3,3,129,115,268000,2330.4347826087
104,-34.5958410273,-58.3798447693,5,3,3,133,133,370000,2781.95488721805
105,-34.6033415,-58.4273092,4,3,3,108,96,270000,2812.5
106,-34.6029045655,-58.4273025823,4,3,2,91,87,220000,2528.73563218391
107,-34.59842,-58.42347,4,3,1,77,72,189000,2625
108,-34.567893,-58.434018,5,3,2,190,129,350000,2713.17829457364
109,-34.5738528707,-58.4320298726,4,3,2,77,70,239000,3414.28571428571
110,-34.588251439,-58.4145011244,4,3,1,85,85,260000,3058.82352941176
111,-34.5802004,-58.4412074,4,3,2,100,100,252000,2520
112,-34.5569666,-58.4601478,4,3,1,91,81,290000,3580.24691358025
113,-34.5634994,-58.4367632,4,3,3,180,171,790000,4619.88304093567
115,-34.5921493036,-58.3874053117,,3,,,145,595000,4103.44827586207
116,-34.5912417048,-58.4026851027,4,3,2,85,76,280000,3684.21052631579
117,-34.5510059,-58.4866904,4,3,2,94,94,195000,2074.46808510638
118,-34.6189802,-58.4452531,4,3,2,128,120,613567,5113.05833333333
119,-34.6265870978,-58.3718288397,4,3,2,127,127,310000,2440.94488188976
120,-34.6257093,-58.3711241,7,3,2,277,234,595000,2542.73504273504
121,-34.5976964951,-58.4147214455,4,3,1,78,75,215000,2866.66666666667
122,-34.6111754,-58.4334604,4,3,2,111,95,210000,2210.52631578947
123,-34.5620172,-58.4512358,5,4,3,170,170,580000,3411.76470588235
124,-34.592168,-58.446942,5,4,2,202,123,224000,1821.13821138211
125,-34.596763,-58.383342,6,5,4,317,288,850000,2951.38888888889
126,-34.62796402,-58.41466141,1,,1,42,40,99500,2487.5
127,-34.4392934,-58.7993203,1,,1,39,35,67000,1914.28571428571
128,-34.4268189,-58.7901848,2,,1,,49,110000,2244.89795918367
129,-34.4324449,-58.580921,3,,2,87,64,195000,3046.875
130,-34.6041864,-58.4140151,1,,1,43,39,94000,2410.25641025641
131,-34.6054076569,-58.4081229988,,,1,48,40,105000,2625
132,-34.62137985,-58.46017838,2,,2,120,75,252000,3360
133,-34.6195213,-58.461726,5,,2,,128,255000,1992.1875
134,-34.6453009,-58.7794193,1,,,42,38,41000,1078.94736842105
135,-34.65371704,-58.79156876,,,1,33,31,70000,2258.06451612903
136,-34.6499611427,-58.6156644096,2,,1,57,50,105000,2100
137,-34.6505547,-58.6409804,1,,,55,50,115000,2300
138,-34.613313,-58.4040257,1,,1,26,26,70000,2692.30769230769
139,-34.62137222,-58.42436218,,,1,81,39,165000,4230.76923076923
140,-34.6010404,-58.4110642,3,,1,,60,150000,2500
141,-34.5978019,-58.4150649,1,,1,56,50,165000,3300
142,-34.5832422,-58.4155459,5,,3,220,220,795000,3613.63636363636
143,-34.58949661,-58.41272354,2,,2,100,95,325000,3421.05263157895
144,-34.5822077,-58.4209956,3,,1,65,65,182000,2800
145,-34.5950444465,-58.4290690878,3,,1,62,58,183000,3155.1724137931
146,-34.5750855,-58.4388235,2,,1,,85,380000,4470.58823529412
147,-34.5831654913,-58.4153715103,5,,4,240,240,770000,3208.33333333333
148,-34.59777,-58.41571,1,,1,28,28,68000,2428.57142857143
149,-34.5754549,-58.423639,1,,1,35,35,175000,5000
150,-34.5740203397,-58.4407137831,3,,1,70,70,220000,3142.85714285714
151,-34.5605292,-58.4483653,3,,1,81,77,310000,4025.97402597403
152,-34.5709877,-58.44145584,,,1,39,36,168000,4666.66666666667
153,-34.56221771,-58.4665184,2,,2,63,59,190000,3220.33898305085
154,-34.56586838,-58.44063568,3,,2,160,148,485000,3277.02702702703
155,-34.5621047,-58.4471744,4,,2,178,170,780000,4588.23529411765
157,-34.5946808,-58.3873196,1,,1,27,27,75000,2777.77777777778
158,-34.5910568,-58.4026426,3,,1,68,68,185000,2720.58823529412
159,-34.58894348,-58.40747833,2,,1,58,53,209000,3943.39622641509
160,-34.5863129,-58.404669,2,,1,43,41,165000,4024.39024390244
161,-34.5878017,-58.3998948,4,,1,94,80,250000,3125
162,-34.5910112,-58.3908362,4,,1,115,95,350000,3684.21052631579
163,-34.6159989,-58.4583173,1,,1,38,34,106000,3117.64705882353
164,-34.610822,-58.4476654,3,,1,66,57,142000,2491.22807017544
165,-34.6159989,-58.4583173,3,,1,67,60,235000,3916.66666666667
166,-34.6278756,-58.4322805,4,,2,128,91,510000,5604.3956043956
167,-34.6159989,-58.4583173,1,,1,37,34,102000,3000
168,-34.6159989,-58.4583173,1,,1,38,34,101000,2970.58823529412
169,-34.6213736,-58.4425973,2,,1,50,47,135000,2872.34042553192
170,-34.6159989,-58.4583173,1,,1,38,34,105000,3088.23529411765
171,-34.6092983,-58.4345985,1,,1,56,52,139000,2673.07692307692
172,-34.6159989,-58.4583173,1,,1,37,34,103000,3029.41176470588
173,-34.62789917,-58.4526062,3,,3,103,103,270000,2621.35922330097
174,-34.6159989,-58.4583173,1,,1,37,34,101000,2970.58823529412
175,-34.6159989,-58.4583173,1,,1,37,34,98500,2897.05882352941
176,-34.6159989,-58.4583173,1,,1,38,34,104000,3058.82352941176
177,-34.5797261,-58.4589137,,,2,79,67,187300,2795.5223880597
178,-34.5797261,-58.4589137,,,2,47,40,123900,3097.5
179,-34.5797261,-58.4589137,,,2,60,40,128400,3210
180,-34.5797261,-58.4589137,,,2,32,28,85600,3057.14285714286
181,-34.5797261,-58.4589137,,,2,32,28,80400,2871.42857142857
182,-34.5797261,-58.4589137,,,2,79,67,193000,2880.59701492537
183,-34.5797261,-58.4589137,,,2,79,67,195200,2913.4328358209
184,-34.5797261,-58.4589137,,,2,47,40,126400,3160
185,-34.5797261,-58.4589137,,,2,32,28,92400,3300
186,-34.5797261,-58.4589137,,,2,79,67,191200,2853.73134328358
187,-34.5797261,-58.4589137,,,2,47,40,136500,3412.5
188,-34.6201657,-58.3886668,1,,1,36,32,75000,2343.75
189,-34.6738029,-58.350194,3,,1,79,75,145000,1933.33333333333
190,-34.5718584213,-58.4423595691,3,,2,76,66,305000,4621.21212121212
191,-34.6549073,-58.5536355,3,,1,60,60,130000,2166.66666666667
192,-34.63885498,-58.56098557,1,,1,40,38,80000,2105.26315789474
193,-34.6508925,-58.5646917,3,,1,60,60,135000,2250
194,-34.4897913,-58.4971009,4,,1,151,143,448000,3132.86713286713
195,-34.46271896,-58.52561951,1,,1,45,40,150000,3750
196,-34.5595972,-58.677849,,,1,260,279,240000,860.215053763441
197,-34.5814686,-58.6950459,,,3,170,170,390000,2294.11764705882
198,-34.5973304,-58.4216121,1,,1,34,29,120000,4137.93103448276
199,-34.6047408,-58.4378173,4,,2,75,72,215000,2986.11111111111
200,-34.62576675,-58.40673065,2,,1,87,85,155000,1823.52941176471
201,-34.6199383,-58.3901251,,,,70,66,140000,2121.21212121212
202,-34.6213144,-58.3968397,4,,1,72,62,150000,2419.35483870968
203,-34.62728119,-58.40666962,1,,1,53,47,150000,3191.48936170213
204,-34.5801552,-58.4842204,1,,1,33,30,120000,4000
205,-34.57045364,-58.48565674,,,1,32,29,107000,3689.65517241379
206,-34.5742675,-58.4726895,3,,2,120,90,280000,3111.11111111111
207,-34.5726459483,-58.4863800513,,,,33,31,102000,3290.32258064516
208,-34.5331569,-58.4773947,3,,1,46,46,126000,2739.13043478261
209,-34.5331569,-58.4773947,3,,1,46,46,126000,2739.13043478261
210,-34.7443509,-58.3962047,2,,1,,51,102000,2000
